Area,1996,2001,2006,2013,2018,2019,2020,2021,2022
100100 North Cape,1710,1520,1380,1470,1660,1690,1750,1800,1820
100200 Rangaunu Harbour,2050,2100,2070,2200,2410,2470,2580,2620,2640
100300 Inlets Far North district,190,140,70,60,50,50,50,40,40
100400 Karikari Peninsula,860,1040,970,1280,1300,1300,1360,1400,1410
100500 Tangonge,940,1010,1090,1240,1180,1180,1230,1240,1260
100600 Ahipara,930,1050,1120,1130,1270,1310,1410,1430,1450
100700 Kaitaia East,2380,2270,2220,2130,2500,2550,2650,2670,2650
100800 Kaitaia West,3080,3070,3180,3160,3620,3640,3730,3730,3690
100900 Rangitihi,800,850,830,890,970,970,980,1000,1030
101000 Oruru-Parapara,540,660,710,750,890,900,940,980,980
101100 Taumarumaru,1610,1750,1720,1970,2280,2420,2520,2610,2640
101200 Herekino-Takahue,1110,1080,1000,1020,1010,1010,1020,1060,1080
101300 Peria,1060,1160,1040,1030,1140,1170,1230,1260,1280
101400 Taemaro-Oruaiti,620,670,740,710,900,920,950,1010,1030
101500 Whakapaku,810,810,720,770,770,770,790,800,800
101600 Hokianga North,1090,970,840,830,830,840,860,970,980
101700 Kohukohu-Broadwood,980,770,780,680,760,760,790,810,810
101800 Whakarara,1220,1270,1160,1130,1390,1430,1440,1470,1490
101900 Kaeo,1060,1080,1110,1100,1240,1250,1270,1330,1360
102000 Omahuta Forest-Horeke,1160,1030,1060,950,1100,1120,1150,1180,1190
102100 Hokianga South,1190,1180,1090,1370,1290,1270,1320,1360,1380
102200 Lake Manuwai-Kapiro,960,1360,1690,2040,2200,2240,2310,2370,2400
102300 Okaihau,980,1050,1110,1220,1290,1310,1350,1400,1460
102400 Rangitane-Purerua,1020,1120,1190,1260,1550,1580,1660,1710,1750
102500 Waipapa,390,500,560,780,900,940,950,970,1000
102600 Puketotara,800,1060,1300,1490,1760,1810,1900,1950,1990
102700 Waima Forest,1040,1150,1050,970,1150,1140,1180,1210,1240
102800 Riverview,1230,1450,1790,1920,2180,2280,2390,2480,2490
102900 Waipoua Forest,1300,1360,1150,1130,1260,1260,1290,1300,1330
103000 Kerikeri Central,1650,1890,2110,2310,2610,2630,2760,2790,2770
103100 Kerikeri South,1140,1320,1700,2270,2640,2680,2710,2760,2800
103200 Ohaeawai-Waimate North,800,890,890,1010,1190,1230,1270,1290,1310
103300 Puketona-Waitangi,770,1020,1140,1230,1380,1440,1480,1510,1540
103400 Ngapuhi,1350,1320,1560,1500,1860,1880,1960,1960,1990
103500 Kaikohe,4200,4160,4190,4280,4660,4740,4860,4890,4900
103600 Pakaraka,410,440,510,600,680,710,720,730,760
103700 Haruru,610,700,800,940,1110,1150,1160,1190,1200
103800 Russell,800,810,810,760,780,790,800,810,810
103900 Paihia,1490,1440,1330,1390,1590,1630,1680,1690,1710
104000 Mataraua Forest,580,590,570,520,530,540,560,580,580
104100 Matawaia-Taumarere,1400,1290,1250,1230,1440,1460,1490,1530,1570
104200 Russell Peninsula,470,480,510,560,620,630,660,690,700
104300 Opua (Far North district),960,1040,1140,1080,1180,1190,1220,1260,1280
104400 Russell Forest-Rawhiti,790,740,660,710,720,750,770,790,790
104500 Moerewa,1630,1620,1470,1480,1720,1800,1870,1880,1930
104600 Kawakawa,1510,1460,1400,1340,1540,1560,1620,1630,1640
104700 Maromaku,810,670,730,730,810,820,820,860,860
104800 Mangakahia-Hukerenui,1810,1770,1720,1760,2000,2000,2030,2110,2160
104900 Whangaruru,1910,2010,2130,2280,2590,2630,2690,2770,2860
105000 Inlets other Whangarei district,20,30,10,30,10,10,10,10,10
105100 Matarau,1470,1740,2300,2780,3070,3140,3240,3320,3390
105200 Hikurangi,1480,1470,1460,1550,1720,1730,1750,1750,1740
105300 Kauri,820,1020,1400,1610,1800,1830,1870,1920,1950
105400 Maungatapere,2130,2340,2820,3230,3570,3640,3710,3800,3830
105500 Kamo West,1610,1730,1790,2140,2260,2270,2290,2280,2280
105600 Matapouri-Tutukaka,1130,1090,1230,1460,1740,1800,1860,1920,1930
105700 Kiripaka,540,600,730,960,1030,1030,1050,1070,1080
105800 Kamo East,1470,1850,1970,2500,2990,3070,3190,3260,3340
105900 Granfield Reserve,1920,2040,2320,3080,3160,3120,3120,3130,3120
106000 Kamo Central,1580,1540,1580,1620,1740,1740,1750,1760,1780
106100 Whau Valley,2490,2540,2650,2760,2890,2880,2890,2920,2920
106200 Tikipunga North,2200,2340,2410,2270,3110,3300,3490,3610,3680
106300 Pukenui,970,970,1340,1790,2110,2190,2260,2310,2360
106400 Otangarei,2220,2020,2220,1800,2210,2210,2290,2270,2290
106500 Tikipunga South,3250,3220,3530,3710,4030,4060,4110,4150,4160
106600 Kensington (Whangarei district),3260,3140,3300,3250,3350,3340,3360,3360,3390
106700 Abbey Caves-Glenbervie,760,830,1020,1220,1360,1370,1400,1410,1430
106800 Mairtown,2190,2240,2260,2460,2560,2540,2560,2570,2570
106900 Maunu-Horahora,2750,2880,3020,3250,3420,3450,3520,3530,3530
107000 Woodhill-Vinetown,2500,2460,2560,2670,2980,3010,3080,3090,3110
107100 Whangarei Central,960,900,910,820,1000,990,980,990,980
107200 Riverside,1940,1910,2000,1930,2160,2190,2230,2210,2250
107300 Raumanga,3060,2930,3110,3140,3490,3540,3580,3600,3630
107400 Tarewa,1830,1710,1820,1820,2070,2100,2170,2210,2220
107500 Morningside (Whangarei district),2100,2110,2200,2250,2450,2470,2510,2510,2540
107600 Ngunguru,700,810,900,990,1210,1220,1220,1260,1280
107700 Otaika-Portland,930,1080,1140,1240,1390,1410,1440,1470,1500
107800 Oakleigh-Mangapai,1570,1710,2040,2370,2380,2380,2430,2480,2510
107900 Port-Limeburners,30,60,50,40,100,150,250,260,270
108000 Pataua,810,930,1160,1390,1630,1660,1740,1810,1820
108100 Onerahi Park,1090,1160,1290,1540,1640,1630,1650,1650,1660
108200 Sherwood Rise,2420,2340,2400,2430,2540,2530,2540,2580,2600
108300 Onerahi,2240,2150,2260,2330,2530,2550,2570,2590,2610
108400 Inlet Whangarei Harbour,30,20,40,10,10,20,20,20,20
108500 Parua Bay,1580,1720,1980,2170,2530,2590,2630,2700,2720
108600 Bream Bay,1300,1370,1550,1770,2140,2210,2290,2360,2410
108700 Marsden Bay,970,920,1000,1610,2300,2440,2650,2770,2890
108800 Ruakaka,1730,1720,1980,2190,2660,2720,2830,2870,2880
